sepallengthcm,sepalwidthcm,petallengthcm,petalwidthcm,petal_ratio,sepal_ratio,species,mapped_species
5.1,3.5,1.4,0.2,6.999999999999999,1.457142857142857,iris-setosa,0
4.9,3.0,1.4,0.2,6.999999999999999,1.6333333333333335,iris-setosa,0
4.7,3.2,1.3,0.2,6.5,1.46875,iris-setosa,0
4.6,3.1,1.5,0.2,7.5,1.4838709677419353,iris-setosa,0
5.0,3.6,1.4,0.2,6.999999999999999,1.3888888888888888,iris-setosa,0
5.4,3.9,1.7,0.4,4.25,1.3846153846153848,iris-setosa,0
4.6,3.4,1.4,0.3,4.666666666666667,1.352941176470588,iris-setosa,0
5.0,3.4,1.5,0.2,7.5,1.4705882352941178,iris-setosa,0
4.4,2.9,1.4,0.2,6.999999999999999,1.517241379310345,iris-setosa,0
4.9,3.1,1.5,0.1,15.0,1.5806451612903227,iris-setosa,0
5.4,3.7,1.5,0.2,7.5,1.4594594594594594,iris-setosa,0
4.8,3.4,1.6,0.2,8.0,1.411764705882353,iris-setosa,0
4.8,3.0,1.4,0.1,13.999999999999998,1.5999999999999999,iris-setosa,0
4.3,3.0,1.1,0.1,11.0,1.4333333333333333,iris-setosa,0
5.8,4.0,1.2,0.2,5.999999999999999,1.45,iris-setosa,0
5.4,3.9,1.3,0.4,3.25,1.3846153846153848,iris-setosa,0
5.1,3.5,1.4,0.3,4.666666666666667,1.457142857142857,iris-setosa,0
5.7,3.8,1.7,0.3,5.666666666666667,1.5000000000000002,iris-setosa,0
5.1,3.8,1.5,0.3,5.0,1.3421052631578947,iris-setosa,0
5.4,3.4,1.7,0.2,8.5,1.5882352941176472,iris-setosa,0
5.1,3.7,1.5,0.4,3.75,1.3783783783783783,iris-setosa,0
4.6,3.6,1.0,0.2,5.0,1.2777777777777777,iris-setosa,0
5.1,3.3,1.7,0.5,3.4,1.5454545454545454,iris-setosa,0
4.8,3.4,1.9,0.2,9.499999999999998,1.411764705882353,iris-setosa,0
5.0,3.0,1.6,0.2,8.0,1.6666666666666667,iris-setosa,0
5.0,3.4,1.6,0.4,4.0,1.4705882352941178,iris-setosa,0
5.2,3.5,1.5,0.2,7.5,1.4857142857142858,iris-setosa,0
5.2,3.4,1.4,0.2,6.999999999999999,1.5294117647058825,iris-setosa,0
4.7,3.2,1.6,0.2,8.0,1.46875,iris-setosa,0
4.8,3.1,1.6,0.2,8.0,1.5483870967741935,iris-setosa,0
5.4,3.4,1.5,0.4,3.75,1.5882352941176472,iris-setosa,0
4.9,3.1,1.5,0.1,15.0,1.5806451612903227,iris-setosa,0
5.0,3.2,1.2,0.2,5.999999999999999,1.5625,iris-setosa,0
5.5,3.5,1.3,0.2,6.5,1.5714285714285714,iris-setosa,0
4.9,3.1,1.5,0.1,15.0,1.5806451612903227,iris-setosa,0
4.4,3.0,1.3,0.2,6.5,1.4666666666666668,iris-setosa,0
5.1,3.4,1.5,0.2,7.5,1.5,iris-setosa,0
5.0,3.5,1.3,0.3,4.333333333333334,1.4285714285714286,iris-setosa,0
4.5,2.3,1.3,0.3,4.333333333333334,1.956521739130435,iris-setosa,0
4.4,3.2,1.3,0.2,6.5,1.375,iris-setosa,0
5.0,3.5,1.6,0.6,2.666666666666667,1.4285714285714286,iris-setosa,0
5.1,3.8,1.9,0.4,4.749999999999999,1.3421052631578947,iris-setosa,0
4.8,3.0,1.4,0.3,4.666666666666667,1.5999999999999999,iris-setosa,0
5.1,3.8,1.6,0.2,8.0,1.3421052631578947,iris-setosa,0
4.6,3.2,1.4,0.2,6.999999999999999,1.4374999999999998,iris-setosa,0
5.3,3.7,1.5,0.2,7.5,1.4324324324324322,iris-setosa,0
5.0,3.3,1.4,0.2,6.999999999999999,1.5151515151515151,iris-setosa,0
7.0,3.2,4.7,1.4,3.3571428571428577,2.1875,iris-versicolor,1
6.4,3.2,4.5,1.5,3.0,2.0,iris-versicolor,1
6.9,3.1,4.9,1.5,3.266666666666667,2.2258064516129035,iris-versicolor,1
5.5,2.3,4.0,1.3,3.0769230769230766,2.3913043478260874,iris-versicolor,1
6.5,2.8,4.6,1.5,3.0666666666666664,2.3214285714285716,iris-versicolor,1
5.7,2.8,4.5,1.3,3.4615384615384612,2.035714285714286,iris-versicolor,1
6.3,3.3,4.7,1.6,2.9375,1.9090909090909092,iris-versicolor,1
4.9,2.4,3.3,1.0,3.3,2.041666666666667,iris-versicolor,1
6.6,2.9,4.6,1.3,3.538461538461538,2.2758620689655173,iris-versicolor,1
